Time,Rocket_X,Rocket_Y,Rocket_Z
38.8,0.985635,-0.332752,0
38.9,0.985628,-0.332637,0
39,0.985618,-0.332521,0
39.1,0.985606,-0.332404,0
39.2,0.985591,-0.332287,0
39.3,0.985574,-0.332169,0
39.4,0.985554,-0.332049,0
39.5,0.985531,-0.331929,0
39.6,0.985506,-0.331808,0
39.7,0.985478,-0.331686,0
39.8,0.985448,-0.331564,0
39.9,0.985415,-0.33144,0
40,0.98538,-0.331316,0
40.1,0.985341,-0.33119,0
40.2,0.985301,-0.331064,0
40.3,0.985258,-0.330937,0
40.4,0.985212,-0.330809,0
40.5,0.985163,-0.33068,0
40.6,0.985112,-0.33055,0
40.7,0.985059,-0.33042,0
40.8,0.985002,-0.330288,0
40.9,0.984944,-0.330156,0
41,0.984882,-0.330023,0
41.1,0.984818,-0.329889,0
41.2,0.984752,-0.329754,0
41.3,0.984682,-0.329618,0
41.4,0.984611,-0.329482,0
41.5,0.984536,-0.329344,0
41.6,0.984459,-0.329206,0
41.7,0.98438,-0.329066,0
41.8,0.984298,-0.328926,0
41.9,0.984213,-0.328785,0
42,0.984126,-0.328644,0
42.1,0.984036,-0.328501,0
42.2,0.983943,-0.328357,0
42.3,0.983848,-0.328213,0
42.4,0.98375,-0.328067,0
42.5,0.98365,-0.327921,0
42.6,0.983547,-0.327774,0
42.7,0.983441,-0.327626,0
42.8,0.983333,-0.327477,0
42.9,0.983222,-0.327328,0
43,0.983109,-0.327177,0
43.1,0.982993,-0.327026,0
43.2,0.982874,-0.326874,0
43.3,0.982753,-0.326721,0
43.4,0.982629,-0.326567,0
43.5,0.982503,-0.326412,0
43.6,0.982374,-0.326256,0
43.7,0.982242,-0.326099,0
43.8,0.982108,-0.325942,0
43.9,0.981971,-0.325783,0
44,0.981832,-0.325624,0
44.1,0.98169,-0.325464,0
44.2,0.981545,-0.325303,0
44.3,0.981398,-0.325141,0
44.4,0.981248,-0.324979,0
44.5,0.981095,-0.324815,0
44.6,0.98094,-0.324651,0
44.7,0.980782,-0.324486,0
44.8,0.980621,-0.324319,0
44.9,0.980458,-0.324152,0
45,0.980293,-0.323984,0
45.1,0.980124,-0.323816,0
45.2,0.979953,-0.323646,0
45.3,0.97978,-0.323476,0
45.4,0.979604,-0.323304,0
45.5,0.979425,-0.323132,0
45.6,0.979243,-0.322959,0
45.7,0.979059,-0.322785,0
45.8,0.978872,-0.32261,0
45.9,0.978683,-0.322434,0
46,0.978491,-0.322258,0
46.1,0.978296,-0.32208,0
46.2,0.978099,-0.321902,0
46.3,0.977899,-0.321723,0
46.4,0.977696,-0.321543,0
46.5,0.977491,-0.321362,0
46.6,0.977283,-0.32118,0
46.7,0.977073,-0.320997,0
46.8,0.97686,-0.320814,0
46.9,0.976644,-0.32063,0
47,0.976425,-0.320444,0
47.1,0.976204,-0.320258,0
47.2,0.97598,-0.320071,0
47.3,0.975754,-0.319883,0
47.4,0.975525,-0.319694,0
47.5,0.975293,-0.319505,0
47.6,0.975058,-0.319314,0
47.7,0.974821,-0.319123,0
47.8,0.974582,-0.318931,0
47.9,0.974339,-0.318738,0
48,0.974094,-0.318544,0
48.1,0.973846,-0.318349,0
48.2,0.973596,-0.318153,0
48.3,0.973343,-0.317956,0
48.4,0.973087,-0.317759,0
48.5,0.972828,-0.31756,0
48.6,0.972567,-0.317361,0
48.7,0.972303,-0.317161,0
48.8,0.972037,-0.31696,0
48.9,0.971768,-0.316758,0
49,0.971496,-0.316556,0
49.1,0.971221,-0.316352,0
49.2,0.970944,-0.316147,0
49.3,0.970664,-0.315942,0
49.4,0.970381,-0.315736,0
49.5,0.970096,-0.315529,0
49.6,0.969808,-0.315321,0
49.7,0.969517,-0.315112,0
49.8,0.969224,-0.314902,0
49.9,0.968928,-0.314691,0
50,0.968629,-0.31448,0
50.1,0.968328,-0.314268,0
50.2,0.968023,-0.314054,0
50.3,0.967716,-0.31384,0
50.4,0.967407,-0.313625,0
50.5,0.967094,-0.313409,0
50.6,0.966779,-0.313192,0
50.7,0.966461,-0.312975,0
50.8,0.966141,-0.312756,0
50.9,0.965818,-0.312537,0
51,0.965492,-0.312317,0
51.1,0.965163,-0.312095,0
51.2,0.964832,-0.311873,0
51.3,0.964497,-0.31165,0
51.4,0.964161,-0.311427,0
51.5,0.963821,-0.311202,0
51.6,0.963479,-0.310976,0
51.7,0.963133,-0.31075,0
51.8,0.962786,-0.310522,0
51.9,0.962435,-0.310294,0
52,0.962082,-0.310065,0
52.1,0.961726,-0.309835,0
52.2,0.961367,-0.309604,0
52.3,0.961005,-0.309372,0
52.4,0.960641,-0.30914,0
52.5,0.960274,-0.308906,0
52.6,0.959904,-0.308672,0
52.7,0.959531,-0.308436,0
52.8,0.959156,-0.3082,0
52.9,0.958778,-0.307963,0
53,0.958397,-0.307725,0
53.1,0.958013,-0.307486,0
53.2,0.957627,-0.307246,0
53.3,0.957238,-0.307005,0
53.4,0.956846,-0.306764,0
53.5,0.956451,-0.306521,0
53.6,0.956053,-0.306278,0
53.7,0.955653,-0.306034,0
53.8,0.95525,-0.305789,0
53.9,0.954844,-0.305543,0
54,0.954435,-0.305296,0
54.1,0.954023,-0.305048,0
54.2,0.953609,-0.304799,0
54.3,0.953192,-0.30455,0
54.4,0.952772,-0.304299,0
54.5,0.952349,-0.304048,0
54.6,0.951924,-0.303795,0
54.7,0.951495,-0.303542,0
54.8,0.951064,-0.303288,0
54.9,0.95063,-0.303033,0
55,0.950193,-0.302777,0
55.1,0.949754,-0.30252,0
55.2,0.949311,-0.302263,0
55.3,0.948866,-0.302004,0
55.4,0.948417,-0.301744,0
55.5,0.947966,-0.301484,0
55.6,0.947513,-0.301223,0
55.7,0.947056,-0.30096,0
55.8,0.946596,-0.300697,0
55.9,0.946134,-0.300433,0
56,0.945669,-0.300168,0
56.1,0.945201,-0.299902,0
56.2,0.94473,-0.299636,0
56.3,0.944256,-0.299368,0
56.4,0.943779,-0.299099,0
56.5,0.9433,-0.29883,0
56.6,0.942817,-0.29856,0
56.7,0.942332,-0.298288,0
56.8,0.941844,-0.298016,0
56.9,0.941353,-0.297743,0
57,0.940859,-0.297469,0
57.1,0.940362,-0.297194,0
57.2,0.939862,-0.296918,0
57.3,0.939359,-0.296641,0
57.4,0.938854,-0.296364,0
57.5,0.938345,-0.296085,0
57.6,0.937834,-0.295805,0
57.7,0.93732,-0.295525,0
57.8,0.936803,-0.295244,0
57.9,0.936283,-0.294961,0
58,0.93576,-0.294678,0
58.1,0.935234,-0.294394,0
58.2,0.934705,-0.294109,0
58.3,0.934173,-0.293823,0
58.4,0.933638,-0.293536,0
58.5,0.933101,-0.293248,0
58.6,0.93256,-0.29296,0
58.7,0.932017,-0.29267,0
58.8,0.93147,-0.292379,0
58.9,0.930921,-0.292088,0
59,0.930368,-0.291795,0
59.1,0.929813,-0.291502,0
59.2,0.929255,-0.291208,0
59.3,0.928693,-0.290912,0
59.4,0.928129,-0.290616,0
59.5,0.927562,-0.290319,0
59.6,0.926992,-0.290021,0
59.7,0.926418,-0.289722,0
59.8,0.925842,-0.289422,0
59.9,0.925263,-0.289121,0
60,0.924681,-0.28882,0
60.1,0.924096,-0.288517,0
60.2,0.923508,-0.288213,0
60.3,0.922916,-0.287909,0
60.4,0.922322,-0.287603,0
60.5,0.921725,-0.287297,0
60.6,0.921125,-0.286989,0
60.7,0.920521,-0.286681,0
60.8,0.919915,-0.286372,0
60.9,0.919306,-0.286061,0
61,0.918693,-0.28575,0
61.1,0.918078,-0.285438,0
61.2,0.91746,-0.285125,0
61.3,0.916838,-0.284811,0
61.4,0.916213,-0.284496,0
61.5,0.915586,-0.28418,0
61.6,0.914955,-0.283863,0
61.7,0.914321,-0.283545,0
61.8,0.913684,-0.283227,0
61.9,0.913045,-0.282907,0
62,0.912402,-0.282586,0
62.1,0.911755,-0.282265,0
62.2,0.911106,-0.281942,0
62.3,0.910454,-0.281618,0
62.4,0.909799,-0.281294,0
62.5,0.90914,-0.280968,0
62.6,0.908478,-0.280642,0
62.7,0.907814,-0.280314,0
62.8,0.907146,-0.279986,0
62.9,0.906475,-0.279657,0
63,0.905801,-0.279326,0
63.1,0.905124,-0.278995,0
63.2,0.904443,-0.278663,0
63.3,0.90376,-0.27833,0
63.4,0.903073,-0.277996,0
